chicolear	flirt	keep	flirt	3	https://es.wiktionary.org/wiki/chicolear : decir piropos/cumplidos = flirt	high
chinchorrear	gossip	keep	gossip	3	https://dle.rae.es/chinchorrear : traer y llevar chismes = gossip	high
chirigotear	jest	keep	jest	3	https://es.wiktionary.org/wiki/chirigotear : de chirigota broma = jest	high
chistar	speak	replace	speak up	2	https://es.wiktionary.org/wiki/chistar : empezar a hablar (sin chistar) = speak up	high	morph kept speak; RAE+Wikt agree speak up
choricear	pilfer	keep	pilfer	3	https://es.wiktionary.org/wiki/choricear : variante de chorizar robar = pilfer	high
chotear	mock	keep	mock	3	https://es.wiktionary.org/wiki/chotear : gastar bromas/burlarse = mock	high
chulear	swagger	keep	swagger	3	https://www.rae.es/diccionario-estudiante/chulear : jactarse o presumir = swagger	high
churruscar	scorch	keep	scorch	3	https://es.wiktionary.org/wiki/churruscar : sobrepasar coccion ennegrecida = scorch	high
cicatear	skimp	keep	skimp	3	https://dle.rae.es/cicatear : escatimar = skimp	high
cimbrear	sway	keep	sway	3	https://es.wiktionary.org/wiki/cimbrear : mover algo flexible vibrando = sway	high
cinematografiar	film	keep	film	3	https://dle.rae.es/cinematografiar : sinonimo de filmar = film	high
ciscar	soil	keep	soil	3	https://es.wiktionary.org/wiki/ciscar : ensuciar una cosa = soil	high	uncertain status resolved 3/3 with URL
cizañar	sow discord	keep	sow discord	3	https://es.wiktionary.org/wiki/cizañar : causar disension sembrando cizaña = sow discord	high
clarear	brighten	replace	dawn	3	https://es.wiktionary.org/wiki/clarear : empezar a amanecer = dawn	high	primary impersonal sense; brighten is secondary tr.
clavetear	stud	keep	stud	3	https://es.wiktionary.org/wiki/clavetear : adornar con clavos = stud	high
clocar	cluck	keep	cluck	3	https://es.wiktionary.org/wiki/clocar : emitir la gallina su voz = cluck	high
