idealizar	0
idear	0
identificar	0
idiotizar	0
idolatrar	0
ignorar	0
igualar	0
ilegalizar	0
ilegitimar	0
iluminar	0
ilusionar	0
ilustrar	0
imaginar	0
imantar	0
imbricar	0
imbuir	0
imitar	0
impacientar	0
impactar	0
impartir	0
impedir	0
impeler	0
imperar	0
impermeabilizar	0
impersonalizar	0
implantar	0
implementar	0
implicar	0
implorar	0
imponer	0
importar	0
importunar	0
imposibilitar	0
impostar	0
imprecar	0
impregnar	0
impresionar	0
improvisar	0
impugnar	0
impulsar	0
imputar	0
inaugurar	0
incapacitar	0
incardinar	0
incautar	1
incendiar	0
incensar	0
incentivar	0
incidir	0
incinerar	0
incitar	0
inclinar	0
incluir	0
incomodar	0
incomunicar	0
incordiar	0
incorporar	0
incrementar	0
increpar	0
incriminar	0
incrustar	0
incubar	0
inculcar	0
incumbir	0
incumplir	0
incurrir	0
incursionar	0
indagar	0
indemnizar	0
independizar	0
indicar	0
indigestar	1
indignar	0
indisciplinar	1
indisponer	0
individualizar	0
indultar	0
industrializar	0
infamar	0
infantilizar	0
infartar	0
infectar	0
inferir	0
infestar	0
infiltrar	0
inflamar	0
inflar	0
infligir	0
influenciar	0
influir	0
informar	0
informatizar	0
infrautilizar	0
infravalorar	0
infringir	0
infundir	0
ingeniar	0
ingerir	0
ingresar	0
inhabilitar	0
inhalar	0
inhibir	0
inhumar	0
inicializar	0
iniciar	0
injerir	0
injertar	0
injuriar	0
inmigrar	0
inmiscuir	0
inmolar	0
inmortalizar	0
inmovilizar	0
inmunizar	0
inmutar	0
innovar	0
inocular	0
inquietar	0
inquirir	0
insalivar	0
inscribir	0
inseminar	0
insensibilizar	0
insertar	0
insinuar	0
insolentar	0
insonorizar	0
inspeccionar	0
inspirar	0
instalar	0
instar	0
instaurar	0
instigar	0
instilar	0
institucionalizar	0
instituir	0
instruir	0
instrumentalizar	0
instrumentar	0
insubordinar	0
insuflar	0
insultar	0
insurreccionar	0
integrar	0
intelectualizar	0
intensificar	0
intentar	0
interaccionar	0
interactuar	0
intercalar	0
intercambiar	0
interceder	0
interceptar	0
interesar	0
interferir	0
interiorizar	0
intermediar	0
internacionalizar	0
internar	0
interpelar	0
interpolar	0
interponer	0
interpretar	0
interrelacionar	0
interrogar	0
interrumpir	0
intervenir	0
interviuvar	0
intimar	0
intimidar	0
intitular	0
intoxicar	0
intranquilizar	0
intrigar	0
intrincar	0
intubar	0
intuir	0
inundar	0
inutilizar	0
invadir	0
invalidar	0
inventar	0
inventariar	0
invernar	0
invertir	0
investigar	0
investir	0
invitar	0
invocar	0
involucionar	0
involucrar	0
inyectar	0
ionizar	0
irisar	0
ironizar	0
irradiar	0
irrigar	0
irritar	0
irrumpir	0
islamizar	0
italianizar	0
iterar	0
izar	0
jabonar	0
jactar	1
jadear	0
jalar	0
jalear	0
jalonar	0
jamar	0
jaranear	0
jarrear	0
jaspear	0
jerarquizar	0
jeringar	0
joder	0
jorobar	0
jubilar	0
judaizar	0
juerguear	1
juguetear	0
juntar	0
juramentar	0
jurar	0
justificar	0
justipreciar	0
juzgar	0
kilometrar	0
labializar	0
laborar	0
labrar	0
lacar	0
lacerar	0
lacrar	0
lactar	0
ladear	0
ladrar	0
ladrillar	0
lagrimear	0
laicizar	0
lamentar	0
laminar	0
lampar	0
lancear	0
languidecer	0
lanzar	0
lapidar	0
laquear	0
largar	0
lastimar	0
lastrar	0
lateralizar	0
latinizar	0
latir	0
laurear	0
lavotear	0
laxar	0
legalizar	0
legar	0
legislar	0
legitimar	0
legrar	0
lesionar	0
levantar	0
levar	0
levitar	0
lexicalizar	0
liar	0
libar	0
liberalizar	0
liberar	0
libertar	0
librar	0
licenciar	0
licitar	0
licuar	0
liderar	0
lidiar	0
ligar	0
lijar	0
limar	0
limitar	0
limosnear	0
linchar	0
lindar	0
liofilizar	0
liquidar	0
lisiar	0
lisonjear	0
listar	0
litigar	0
litografiar	0
llagar	0
llamar	0
llamear	0
llanear	0
llenar	0
lloriquear	0
lloviznar	0
loar	0
